ID,mjds,num_qpos,hardness,tins,disk_norm,gammas,nthcomp_norms,fit_stats,red_fit_stats,count_rates,bg_ratio,intensities
1130360184_9,58266.2946065,0,0.06155066724266742,0.284854,165190.0,4.0,1.07364,294.96,2.201194029850746,179.0569494475819,342.52101283747163,71.8018069802716
1130360185_0,58267.0659954,0,0.07664768659456027,0.265859,219104.0,4.0,1.35447,547.65,3.4228125,168.02424082819815,404.75281011455365,68.17627296570768
1130360185_1,58267.194456,0,0.1045212320121256,0.219826,656025.0,4.0,2.15017,401.23,2.3463742690058482,165.8929252180792,217.00206560416612,69.60670241416503
1130360185_2,58267.3867361,0,0.13045107151407648,0.250052,302957.0,3.41762,1.02598,567.56,3.118461538461538,155.97309377797131,351.6848987330768,67.61304084806608
1130360186_0,58270.9260764,0,0.2931929277629387,0.2,571833.0,2.45071,0.254581,373.15,1.9334196891191708,59.78176371612103,45.22428786559707,30.168350588172164
1130360188_0,58273.758831,0,0.4205264167218268,0.2,175943.0,1.96277,0.077905,288.41,1.4866494845360827,25.01495896449521,41.86649878147023,15.282847555227367
1130360199_2,58287.8375694,0,0.44724228081761597,0.2,94063.5,1.9164,0.0819687,186.22,0.9749738219895288,24.607933350813408,24.29928093100971,16.528023588452257
1130360202_0,58288.9965278,0,0.38332270344942737,0.2,371829.0,2.11165,0.200439,282.1,1.541530054644809,54.996934091293404,79.6510514072862,33.03156947647288
1130360203_0,58290.217662,0,0.34276182273580097,0.2,661700.0,2.23328,0.321867,393.29,1.9763316582914574,84.23072932791703,148.3043697809209,47.4280905323374
1130360203_1,58290.284213,0,0.3351477150482396,0.2,670674.0,2.25344,0.338649,375.58,1.926051282051282,86.73119205778343,157.40141082967972,48.89704089668353
1130360203_2,58290.3462963,0,0.33835051722145343,0.2,674931.0,2.29345,0.357323,449.49,2.24745,86.7591856470222,181.8815950556699,48.902596850744196
1130360204_0,58292.6001389,0,0.14027723384834684,0.273753,184797.0,3.20762,0.958247,511.82,2.6382474226804122,184.81060931055316,93.56557549138321,84.7443287387986
1130360205_0,58296.200706,0,0.10914495597824221,0.262033,222949.0,3.63045,1.11887,537.43,2.9692265193370164,162.4889886247667,182.04693246506343,69.20312677011398
