full_ids,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,fit_stat,reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1130360258_0,58376.0151042,1.412,59.7,852.17158599617,0.207937,4475.05,1.54635,0.0047517,202.67,1.1647701149425287,0.20794,4475.0,1.5463,0.0047517,0.5720720181279422,4.809563664708223,1798,1798,0.553843932386148,
1130360240_1,58340.6439699,0.9851,39.0,1040.63512950903,0.234193,975.748,2.25539,0.00911458,217.38,1.1687096774193548,0.23195,1064.4,2.2576,0.0091834,0.3265365796610414,3.245352888492582,2298,2298,0.98348317727612,
1130360282_1,58501.5427778,1.807,74.3,71.9694071996491,0.295363,775.692,1.47366,0.00526299,35.09,1.1696666666666669,0.29617,765.57,1.4716,0.0052437,0.6211363462422186,7.206999244304985,178,178,0.3984651872240071,
1130360220_2,58314.542338,0.02158,0.8,80.9519508018857,0.200024,2.91162,1.66296,0.00236387,45.85,1.1756410256410257,0.2124,0.10004,1.2774,6.8684e-05,0.2893305746216501,2.227084315727973,206,206,2.073793439796984,
1130360226_3,58321.4347222,10.1,95.1,459.726024002302,0.27672,5174.09,1.63274,0.0346017,210.65,1.1768156424581009,0.27578,46435.0,1.7344,0.042863,0.5208294977422108,35.53144140080161,5081,5081,0.3200629465962185,
1130360210_0,58303.2847801,13.76,92.5,128.890027503599,0.2,146189.0,2.03277,0.0765799,165.98,1.1771631205673758,0.2,146190.0,2.0328,0.07658,0.4031254655424395,20.256188917558912,1883,1883,0.7586835464158157,
1130360244_1,58350.3564699,1.24,68.7,243.91635680222,0.2,13346.9,1.54299,0.00387127,87.12,1.1772972972972973,0.2,12230.0,1.5294,0.0037909,0.5187145508251271,5.574495838535709,400,400,0.3584889964019782,
1130360167_4,58236.6643866,-0.05429,-1.1,747.706410006736,0.204173,31036.5,3.64758,2.37144e-12,237.98,1.1839800995024876,0.20415,36307.0,3.6476,6.8536e-24,9.926046813847712,1.9164908316853453,2906,2906,4.240688586625779,
1130360233_0,58333.6274074,7.45,93.9,171.940264400677,0.200001,40908.2,1.98572,0.0428519,147.16,1.186774193548387,0.2,40428.0,1.982,0.042629,0.4294191863057389,26.86627896369956,1390,1390,0.3125383053298839,
1130360167_2,58236.2139005,1.069,68.2,258.901735398016,0.200001,51343.2,2.20529,0.00232582,60.67,1.189607843137255,0.2,51208.0,2.3238,0.0026857,0.2577695152601163,3.569169392323383,210,210,0.3157123666575631,
2130360207_5,58596.2202546,0.6744,44.9,719.732015992049,0.2,594.354,1.94676,0.00449783,167.09,1.1935,0.2,594.35,1.9468,0.0044978,0.419273354009222,3.715044652774465,969,969,0.4958792989465595,
2130360202_1,58571.1660301,1.04,67.1,891.676650004112,0.3365,115.179,1.44197,0.00283488,176.91,1.195337837837838,0.33682,114.39,1.4409,0.0028291,0.5509456841777828,5.687197092336835,1371,1371,0.3280324783270242,
1130360265_5,58384.5983333,1.568,81.5,145.511337984353,0.280502,1041.31,1.19365,0.00210049,58.76,1.1991836734693877,0.28048,10288.0,1.1937,0.002652,0.7927066147807168,9.297575632075054,273,273,0.226107304821667,
1130360169_0,58238.2711458,0.8009,62.8,61.975435600616,0.200017,37974.5,1.79625,0.00130695,13.27,1.2063636363636363,0.2,38332.0,1.5762,0.00096579,0.4532196367969307,2.998046073108302,45,45,0.3634020956135767,
1130360215_1,58308.5673264,1.909,78.2,792.731886689435,0.2,17889.6,1.94946,0.00991582,185.84,1.206753246753247,0.2,17890.0,1.9495,0.0099158,0.4330953901586318,8.074887339505485,1776,1776,0.3166628421472203,
1130360257_1,58375.9507639,1.255,53.0,852.221971982159,0.32961,237.117,1.62993,0.00447338,210.02,1.2070114942528736,0.32966,236.91,1.6298,0.004472,0.4918895627856236,4.298653088746512,1859,1859,0.6612870508154248,
1130360189_0,58274.2211574,11.07,73.2,140.949042601831,0.291879,8194.74,1.69805,0.0368232,203.51,1.2113690476190475,0.29213,8154.8,1.6966,0.036735,0.4091013033899282,6.2745997879573565,2116,2116,2.846190862966913,
1130360178_4,58252.4392276,0.5514,58.9,73.7119377087678,0.2,32787.3,3.53543,0.0258453,10.92,1.2133333333333334,0.2,11711.0,3.3475,0.018407,0.0917465722969837,3.9074577781618096,86,86,0.4012797152893041,
1130360234_0,58334.4649306,5.155,89.0,629.782523994218,0.2,30702.4,1.8348,0.0245764,206.3,1.213529411764706,0.2,30703.0,1.8348,0.024576,0.4697557052670275,15.766166602796178,3687,3687,0.3964740510823695,
1130360210_1,58303.2864592,13.57,92.2,152.840759100727,0.2,156921.0,1.97165,0.07082,180.84,1.221891891891892,0.2,143270.0,1.9649,0.069968,0.4247237342065819,18.82893145573468,2189,2189,0.8033064614618729,
1130360178_2,58252.3717477,0.8116,64.3,323.894959201687,0.200036,5333.84,2.4719,0.00911279,80.9,1.2257575757575758,0.2,5042.2,2.3388,0.006666,0.3339921301226463,5.2019951265914015,393,393,0.2887571966472239,
1130360240_3,58340.7729861,1.241,27.7,1013.64195658872,0.2,3174.51,3.48606,0.0379828,245.74,1.2287,0.2,2075.1,3.4813,0.03612,0.0508623166357874,2.441103178107698,3854,3854,2.6383478609062005,
1130360256_0,58371.2578241,1.969,77.0,73.8747180022765,0.2,22502.3,1.84867,0.0101128,40.6,1.2303030303030305,0.2,11093.0,1.8133,0.0094397,0.5046869145949272,7.980676173231317,186,186,0.3606779695701159,
1130360169_1,58238.2718981,0.7364,55.8,327.876409603981,0.2,32167.4,2.02641,0.0015001,75.3,1.2344262295081967,0.2,30711.0,2.0518,0.0015395,0.2448770646290473,3.101148367181031,247,247,0.3585337656220265,
1130360178_0,58252.2426505,0.6487,48.6,357.883614199411,0.2,7443.41,2.18374,0.00536158,95.15,1.2357142857142858,0.2,6577.7,2.1627,0.0051984,0.3516694501002684,3.731472303462962,432,432,0.4419215000296796,
1130360212_1,58305.9879861,5.309,81.6,200.845672194846,0.316933,1987.54,1.4189,0.0122861,168.42,1.256865671641791,0.31683,1992.5,1.4196,0.012302,0.5045228397059912,10.088679029963403,1276,1276,0.6990165043788699,
1130360274_0,58396.8055787,2.089,87.4,1278.0777052464,0.2,17005.9,1.91175,0.0114078,213.88,1.2581176470588236,0.2,8692.9,1.8794,0.010697,0.4710877186414502,14.065845642503987,3075,3075,0.1841409323721155,
1130360196_3,58282.8847917,1.372,77.1,505.834082603105,0.2,11316.9,2.06407,0.00873154,139.67,1.2582882882882882,0.2,10470.0,2.0554,0.0086122,0.4329482668712477,7.5504320558559135,861,861,0.2598514333976087,
1130360196_2,58282.8207176,1.317,78.0,481.84224140516,0.2,9687.95,2.49563,0.0135186,129.49,1.2695098039215686,0.2,9688.0,2.4956,0.013519,0.3037941816837781,7.568738959454206,745,745,0.2353799135100223,
1130360171_1,58241.6165972,0.1009,6.3,1545.47095882113,0.2,8277.59,3.59313,0.00206123,248.85,1.2761538461538462,0.2,8192.6,3.5408,0.0019378,-0.2398094877668761,2.072905446834405,1696,1696,1.0228302159343283,
1130360245_1,58351.1941088,0.5482,29.0,111.961236801464,0.202026,186.295,1.99913,0.00463542,46.33,1.2869444444444444,0.20976,0.52118,1.1937,0.0004063,0.4629067526336542,3.0015357322858645,197,197,0.8790937473503012,
1130360230_2,58326.777037,40.01,99.1,166.859001895646,0.2,617730.0,2.4206,0.32814,212.58,1.2883636363636364,0.2,608140.0,2.4181,0.32682,0.3041727911528608,161.84934043311537,6621,6621,0.2466917705793863,
2130360208_2,58603.5583681,1.363,38.6,1299.48805999884,0.246914,1037.47,1.19365,0.00240982,259.12,1.2891542288557214,0.24666,5096.7,1.1937,0.002221,1.129105995027032,2.9466376539277266,3668,3668,1.450013059915923,
1130360224_0,58319.2317824,3.058,49.6,1053.36633522168,0.249729,2789.04,1.65537,0.0110935,259.57,1.2913930348258706,0.24954,2811.2,1.656,0.011106,0.5097510690812089,3.3097115835154582,6051,6051,2.4870812077321265,
2130360203_0,58572.1951852,0.6983,55.1,597.173421244629,0.2,4022.88,1.74245,0.00350055,144.5,1.3018018018018018,0.2,3070.5,1.7312,0.0034308,0.4436898433890455,4.550053639288895,756,756,0.3566041642723379,
1130360207_0,58300.1898727,32.04,98.2,218.862292796723,0.2,557028.0,2.40496,0.247708,219.09,1.304107142857143,0.2,555520.0,2.3915,0.24349,0.3117174689608814,85.3289143982956,6701,6701,0.363071503673628,
1130360168_0,58237.306331,1.035,59.3,613.775091802934,0.2,34084.2,1.55859,0.00145933,148.94,1.3064912280701757,0.2,34084.0,1.5586,0.0014593,0.4267322661271323,3.407976685320677,618,618,0.4181450283685189,
1130360225_0,58320.6632639,5.924,81.5,244.85270600504,0.2,20617.9,1.75456,0.027488,187.56,1.3116083916083916,0.2,19925.0,1.7529,0.027407,0.5149278305761559,9.743467386401202,1842,1842,0.8604012316689786,
1130360232_2,58328.5097801,31.16,98.5,465.501380000729,0.2,402552.0,2.21297,0.208704,250.89,1.3135602094240837,0.2,402580.0,2.213,0.20871,0.3595152383844346,104.05237998714053,14429,14429,0.3007857341178816,
1130360273_1,58395.9690394,1.872,86.2,1343.05019988678,0.2,7827.89,1.86934,0.00930689,216.85,1.3142424242424242,0.2,7827.9,1.8693,0.0093069,0.4796016924069701,12.93373041770262,2860,2860,0.1784421981056163,
1130360226_9,58321.888206,11.81,95.9,238.846490299678,0.2,51502.4,1.89014,0.0618302,202.34,1.322483660130719,0.2,47840.0,1.8864,0.061411,0.4781052497740035,40.61677978354391,3076,3076,0.325078536407451,
1130360172_3,58242.7248032,0.2005,34.3,276.911830897763,0.2,4121.55,3.44585,0.00370953,34.4,1.323076923076923,0.2,4104.8,3.4233,0.0036037,0.009571868007175,2.608117323394433,110,110,0.2470207543628073,
1130360171_0,58241.4331366,0.1466,14.2,157.948381397815,0.2,10035.4,2.43568,0.00119402,36.27,1.3433333333333335,0.2,7445.9,2.3043,0.00098426,-0.2166931569685444,2.215211503507192,104,104,0.5418340424901783,
1130360235_0,58335.4947454,4.178,88.4,853.702295594907,0.200015,27251.5,1.71734,0.0164097,249.96,1.3438709677419356,0.20001,27232.0,1.7118,0.016283,0.5275638142469642,14.956057955178611,3929,3929,0.3297712688726334,
1130360248_0,58355.4467593,6.491,81.0,672.762700195075,0.20048,18278.5,1.8657,0.0345033,257.1,1.3603174603174604,0.20033,18737.0,1.8681,0.03463,0.4762204196265429,10.018466423300266,5439,5439,0.8964466758570212,
1130360222_0,58316.5477199,1.54,70.2,859.675866009784,0.399555,120.078,1.26267,0.0028012,221.86,1.3611042944785277,0.39986,119.5,1.261,0.0027925,0.4927361164678754,6.39549850362434,1845,1845,0.3977681992849087,
1130360174_1,58244.521088,0.5233,18.7,410.86350690134,0.2,3777.11,1.19365,0.00124812,224.51,1.385864197530864,0.2,3734.0,1.1937,0.0011188,1.9791660114986085,2.557962999129261,892,892,1.393510182461237,
1130360165_1,58231.1308796,2.781,85.0,103.964255200233,0.2,174820.0,3.64758,0.0118109,39.2,1.4,0.2,173990.0,3.6476,0.015656,-0.0161974403214256,4.95144088399166,138,138,0.3359228534993685,
1130360177_1,58250.1255903,0.3417,46.2,68.9775059994136,0.200001,14132.9,1.19365,0.000241873,8.43,1.405,0.2,13954.0,1.1937,0.00026167,2.162002389604427,2.975974196796912,40,40,0.2934750833331254,
1130360168_2,58237.6947569,-0.8569,-14.0,369.841751001077,0.2,18132.5,3.64758,2.39861e-22,282.22,1.4111000000000002,0.2,17245.0,3.6475,3.1689000000000002e-27,2.02701599753578,1.8601426054980787,1885,1885,5.925499390970919,
1130360267_3,58386.4518981,0.9956,60.4,144.486410005484,0.435261,47.7704,1.31095,0.00161484,57.96,1.4136585365853658,0.43558,47.617,1.3093,0.0016105,0.4523911180413833,4.5033926080284425,213,213,0.4207884336093295,
1130360167_3,58236.2771759,1.032,64.5,343.868041596375,0.200026,47088.4,2.58293,0.00356479,90.54,1.4146875,0.2,46731.0,2.3489,0.0026853,0.1997015466589656,3.215224463240078,266,266,0.3491982693202561,
1130360168_3,58237.6990856,0.6968,30.9,358.877580997738,0.2,28033.7,3.64758,0.00951436,154.23,1.4149541284403668,0.2,27092.0,3.6476,0.012218,-0.1368513949662377,2.2741163868986733,524,524,1.145976882238139,
1130360283_1,58502.3319213,1.717,52.5,1049.62176011503,0.213101,692.436,2.08561,0.0135067,269.21,1.4168947368421052,0.21483,633.91,2.0717,0.012948,0.4193188667171766,4.34541584226037,3190,3190,0.9084640547393168,
1130360166_5,58233.8385995,0.3783,9.4,324.887712496275,0.2,79512.8,3.64758,0.00066844,217.01,1.4276973684210523,0.2,74299.0,3.6476,3.0629e-15,-1.9172699013086387,1.9316863753608744,843,843,2.784995794804987,
2130360212_2,58614.7088542,0.454,22.0,757.722647805931,0.360297,0.100009,1.19365,0.00119733,264.27,1.4284864864864864,0.36215,0.1,1.1937,0.0010636,1.2603216500954115,2.7276967785693422,1278,1278,0.9762320512756816,
1130360176_2,58247.2843403,0.3739,23.7,712.762428396352,0.2,2556.0,1.19365,0.000729258,215.03,1.433533333333333,0.2,2542.4,1.1937,0.00067152,1.1904094301221515,2.6456221000743745,830,830,0.7076250236817602,
1130360209_0,58302.0612847,17.76,95.4,316.82485749491,0.2,208176.0,2.04914,0.100739,247.2,1.4456140350877191,0.2,206450.0,2.0292,0.098072,0.396190434761126,36.73375134876967,5836,5836,0.515486651763034,
