obsid,object,instrument,resp_file,obs_date,obs_time,time_start,source_percent,spectral_file,bg_file,background_count_rate,bg_source_ratio,exposure_time,net_source_count
40124-01-25-00,XTE_J1859+226,PCA,xp40124012500.rsp,1999-10-23T19:41:20,19:41:20,183325222.37843,97.73003384431512,xp40124012500_s2.pha,xp40124012500_b2.pha,146.0289695665607,44.05352024723413,768.000000000001,4716312.751372881
40124-01-26-00,XTE_J1859+226,PCA,xp40124012600.rsp,1999-10-24T03:42:08,03:42:08,183354067.37843,98.17670927047698,xp40124012600_s2.pha,xp40124012600_b2.pha,81.53713589294917,54.84588847010685,6911.99999999886,29783133.31670803
40124-01-27-00,XTE_J1859+226,PCA,xp40124012700.rsp,1999-10-24T10:16:32,10:16:32,183377731.37843,98.45360891217288,xp40124012700_s2.pha,xp40124012700_b2.pha,87.46071248470075,64.66669446505495,1184.0,6489354.516418114
40124-01-28-00,XTE_J1859+226,PCA,xp40124012800.rsp,1999-10-25T10:17:04,10:17:04,183464163.37843,98.21211699223281,xp40124012800_s2.pha,xp40124012800_b2.pha,81.86336849608155,55.9320713746732,2671.99999999981,11797043.079378486
40124-01-28-01,XTE_J1859+226,PCA,xp40124012801.rsp,1999-10-25T12:01:20,12:01:20,183470419.37843,98.05344733587972,xp40124012801_s2.pha,xp40124012801_b2.pha,82.21127405308354,51.37287156070563,1248.0,5065640.329981752
40124-01-29-00,XTE_J1859+226,PCA,xp40124012900.rsp,1999-10-26T03:38:40,03:38:40,183526659.37843,98.12415774911943,xp40124012900_s2.pha,xp40124012900_b2.pha,139.27601725524966,53.30938673177733,3423.99999999947,24468475.9169181
40124-01-30-00,XTE_J1859+226,PCA,xp40124013000.rsp,1999-10-27T00:24:48,00:24:48,183601427.37843,98.50189385582732,xp40124013000_s2.pha,xp40124013000_b2.pha,81.93104862328613,66.75094444340844,2623.99999999982,13920615.928412512
40124-01-31-00,XTE_J1859+226,PCA,xp40124013100.rsp,1999-10-27T18:39:28,18:39:28,183667107.37843,97.21281446324396,xp40124013100_s2.pha,xp40124013100_b2.pha,183.20569648262762,35.87848698310493,1056.0,6554308.784514345
40124-01-36-00,XTE_J1859+226,PCA,xp40124013600.rsp,1999-11-01T02:33:20,02:33:20,184041139.37843,98.15920172861439,xp40124013600_s2.pha,xp40124013600_b2.pha,83.27427340427909,54.32425788010304,7519.99999999873,32766629.463999927
40124-01-37-00,XTE_J1859+226,PCA,xp40124013700.rsp,1999-11-01T22:40:00,22:40:00,184113546.37843,98.14381971699846,xp40124013700_s2.pha,xp40124013700_b2.pha,110.34317646572522,53.874077273515404,2703.9999999997,15477562.050836712
40124-01-37-01,XTE_J1859+226,PCA,xp40124013701.rsp,1999-11-02T01:50:08,01:50:08,184124953.37843,98.06391546712891,xp40124013701_s2.pha,xp40124013701_b2.pha,55.11950351055712,51.65063730544137,2080.0,5692374.432698041
40124-01-37-02,XTE_J1859+226,PCA,xp40124013702.rsp,1999-11-02T06:37:20,06:37:20,184142179.37843,98.1352895632742,xp40124013702_s2.pha,xp40124013702_b2.pha,79.76908000726124,53.62762927180658,6287.999999999,25895798.02491442
40124-01-39-00,XTE_J1859+226,PCA,xp40124013900.rsp,1999-11-03T20:59:44,20:59:44,184280326.37843,97.27063423142906,xp40124013900_s2.pha,xp40124013900_b2.pha,81.01654757595504,36.638548468481254,5839.9999999991,16388766.362156495
40124-01-40-00,XTE_J1859+226,PCA,xp40124014000.rsp,1999-11-04T19:51:44,19:51:44,184362643.37843,97.07213836874836,xp40124014000_s2.pha,xp40124014000_b2.pha,81.42253133012838,34.15461951227886,1392.0,3644409.8363884613
