full_ids,simpl_tin,simpl_diskbb_norm,simpl_gamma,simpl_FracScat,fit_stat,reduced_fit_stat,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,nthcomp_fit_stat,nthcomp_reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1050360111_2,8.75133E-02,3.47202E+10,2.61059,9.94844E-03,22960.48,114.23124378109452,58015.3430903,10720.0,100.0,514.540000073612,0.2,4083820.0,2.59049,135.69299999999998,25834.35,128.52910447761192,,,,,0.31514791206905,2732.0374115797804,6158270,6158270,4.382399186480697,
1050360111_3,9.45826E-02,2.19553E+10,2.59690,9.99999E-03,2382.07,11.851094527363184,58015.5963426,10100.0,100.0,109.855590021238,0.2,8709270.0,2.56902,124.022,3307.25,16.453980099502488,,,,,0.31670446058457097,8580.659805605741,1237778,1237778,1.3132594377124402,
1050360111_6,9.12784E-02,2.84749E+10,2.61685,9.99838E-03,6047.86,30.088855721393035,58015.6674074,10640.0,100.0,175.14680998306702,0.2,5522010.0,2.60279,136.246,7349.58,36.56507462686567,,,,,0.3111518808501109,3435.6183131933253,2081925,2081925,3.4608626767212622,
1050360112_1,9.15515E-02,2.70844E+10,2.57846,1.00002E-02,26887.75,133.76990049751242,58016.306354199995,11120.0,99.9,657.731550084427,0.2,5177500.0,2.56732,137.043,31416.47,156.30084577114428,,,,,0.3188224277827008,2526.8584368751754,8169093,8169093,4.9171805944811116,
1050360112_3,9.37702E-02,2.38397E+10,2.59768,9.99944E-03,19838.94,98.70119402985074,58016.947291699995,10520.0,100.0,847.9329403974119,0.2,8048730.0,2.57348,129.916,27118.92,134.92,,,,,0.3154806353150234,13406.232909127788,9955228,9955228,0.8758209709647713,
1050360113_0,9.39186E-02,2.36298E+10,2.59839,1.00001E-02,19061.91,94.83537313432836,58017.0116204,10490.0,100.0,849.9117803983389,0.2,8162670.0,2.5741099999999997,129.644,26388.37,131.28542288557213,,,,,0.31524312261790005,9674.251232115208,9949991,9949991,1.2102535679248336,
1050360113_1,8.89638E-02,3.39864E+10,2.63738,9.94844E-03,31233.27,155.38940298507464,58017.0759722,10710.0,100.0,860.612700227648,0.2,5355820.0,2.61436,138.952,37412.54,186.13203980099502,,,,,0.30878428027212607,7086.48257540015,10302821,10302821,1.6895808145134508,
1050360113_2,9.13471E-02,2.90792E+10,2.62057,9.99903E-03,29396.00,146.24875621890547,58017.14010419999,10820.0,100.0,879.318790383637,0.2,5847970.0,2.60546,138.945,35950.69,178.85915422885574,,,,,0.3104343449398279,2764.505310842165,10637354,10637354,4.377508066189368,
1050360113_4,8.94527E-02,3.35683E+10,2.63676,9.99810E-03,36753.09,182.85119402985072,58017.2688426,10950.0,100.0,876.245140397921,0.2,4080230.0,2.6289599999999997,144.53,42294.5,210.42039800995025,,,,,0.3066468460971497,4695.875373557844,10724684,10724684,2.606962679266769,
1050360113_7,0.200065,1.07193E+07,2.79972,0.906345,93600.84,465.67582089552235,58017.8477778,10720.0,100.0,876.298299977556,0.32159499999999996,0.1,2.86036,132.042,84449.54,420.1469651741293,,,,,0.2778169928210029,18302.164854399183,10546483,10546483,0.6576229404540137,
1050360114_1,0.241843,3.95586E+06,2.86913,0.906345,322424.8,1604.1034825870647,58018.876921300005,10600.0,100.0,898.0120000541209,0.315118,0.1,2.8670299999999997,133.787,85694.9,426.3427860696517,,,,,0.2760368424864449,18934.13496579113,10694345,10694345,0.6289983691332095,
1050360114_2,0.241362,3.97912E+06,2.87002,0.906345,316018.2,1572.2298507462688,58018.9412731,10540.0,100.0,898.0120000541209,0.31387600000000004,0.1,2.86732,133.52,83533.02,415.58716417910455,,,,,0.2754146398942644,11974.226312524079,10635105,10635105,0.9891187862715076,
1050360115_10,0.177432,1.87115E+07,2.80524,0.906345,63704.31,316.9368656716418,58019.4727431,10440.0,100.0,619.10774028115,0.313433,0.1,2.87013,132.658,57209.52,284.62447761194034,,,,,0.2745926858636126,28170.714833968643,7262153,7262153,0.4164057425505202,
1050360115_12,0.222923,5.69799E+06,2.81758,0.906345,163508.6,813.4756218905472,58019.5372569,10520.0,100.0,698.156339779496,0.27781100000000003,0.1,2.80386,139.509,56244.61,279.8239303482587,,,,,0.281293315561794,14369.020339450313,8245146,8245146,0.8219563029213409,
1050360115_14,0.172818,2.05970E+07,2.78035,0.906345,57747.64,287.30169154228855,58019.602662,10460.0,100.0,670.453859684989,0.27463200000000004,0.1,2.80602,140.18,53641.6,266.873631840796,,,,,0.2807092331571002,26443.86953566,7872438,7872438,0.4440498947387567,
1050360115_15,9.56973E-02,1.03340E+10,2.67237,2.48655E-02,21238.86,105.66597014925374,58019.6688079,10660.0,100.0,360.919299861416,0.2,1777370.0,2.6756599999999997,148.539,22285.53,110.87328358208954,,,,,0.2989059975984777,14117.328461306835,4309235,4309235,0.8458012395794628,
1050360115_16,0.100339,4.81526E+09,2.67883,4.32500E-02,9412.80,46.829850746268654,58019.6730556,10640.0,100.0,154.196640070528,0.2,1283680.0,2.68233,149.393,9652.12,48.020497512437814,,,,,0.29774388744665264,35068.60981890884,1837195,1837195,0.33976151029636953,
1050360115_17,9.76436E-02,7.49601E+09,2.67094,3.10899E-02,17959.88,89.3526368159204,58019.733645800006,10650.0,100.0,303.570810049772,0.2,1647090.0,2.67391,148.144,18680.16,92.93611940298507,,,,,0.299322317535882,18497.46532232611,3621501,3621501,0.6449705093141257,
1050360115_18,9.55153E-02,1.03974E+10,2.66462,2.44156E-02,9723.84,48.37731343283582,58019.7372801,10600.0,100.0,170.021999996156,0.2,1831110.0,2.66696,146.335,10205.08,50.771542288557214,,,,,0.3002825111948391,14146.842897402894,2018934,2018934,0.8394371218050564,
1050360115_19,9.49596E-02,1.08973E+10,2.67304,2.47771E-02,18432.49,91.70393034825871,58019.8001852,10790.0,100.0,295.552530064248,0.2,1419460.0,2.67734,150.61700000000002,19103.3,95.0412935323383,,,,,0.2987193003147865,20955.422560563293,3570433,3570433,0.576514863867693,
1050360115_2,0.283636,2.13822E+06,2.90031,0.906345,83575.49,415.79845771144284,58019.0071181,10530.0,100.0,776.380700166337,0.317777,0.1,2.87549,132.717,73189.84,364.12855721393026,,,,,0.2747444266608605,9676.095167364809,9181797,9181797,1.2223560047751325,
1050360115_20,0.222826,5.70519E+06,2.81401,0.906345,35284.69,175.54572139303482,58019.8661574,10530.0,100.0,155.188219948672,0.276043,0.1,2.7991099999999998,139.74200000000002,12253.3,60.96169154228856,,,,,0.2821334805550156,34939.66136388766,1834586,1834586,0.3383553609396609,
1050360115_21,0.174149,1.94304E+07,2.76562,0.906345,61308.91,305.01945273631844,58019.923240699994,10450.0,100.0,787.1325599402189,0.2,0.1,2.74403,157.018,58060.1,288.85621890547264,,,,,0.28487154388864955,18884.252920062714,9233116,9233116,0.6211887820990417,
1050360115_22,0.198723,1.05984E+07,2.78490,0.906345,64691.94,321.85044776119406,58019.987546300006,10430.0,100.0,791.087999939919,0.2,0.1,2.7522900000000003,158.066,61452.89,305.73577114427866,,,,,0.2830029872740193,17474.435250874267,9259787,9259787,0.6698813781389092,
1050360115_3,0.271104,2.61161E+06,2.88517,0.906345,102577.2,510.33432835820895,58019.0699306,10600.0,100.0,888.050160342827,0.320924,0.1,2.87711,132.556,83342.58,414.6397014925373,,,,,0.2748537026614121,4271.6929748490775,10573116,10573116,2.7878355339894374,
1050360115_4,0.202887,1.00421E+07,2.80946,0.906345,62104.78,308.9790049751244,58019.134294,10610.0,100.0,609.131600193679,0.313929,0.1,2.86053,133.605,56370.74,280.45144278606966,,,,,0.27663763322332696,4273.5570967023095,7260127,7260127,2.789621056189392,
1050360115_6,0.228161,5.19866E+06,2.83560,0.906345,127531.1,634.4830845771145,58019.215544000006,10610.0,100.0,480.634559880942,0.287079,0.1,2.82401,139.678,41612.03,207.02502487562188,,,,,0.27956225090588155,23695.370746114364,5721701,5721701,0.5024177613433088,
1050360115_7,0.301737,1.64151E+06,2.90113,0.900836,46280.88,230.2531343283582,58019.279895800006,10550.0,100.0,494.49500022455993,0.30056700000000003,0.1,2.84338,136.009,43872.34,218.27034825870646,,,,,0.277780555395008,19254.68228382676,5858729,5858729,0.6153577916463758,
1050360116_0,0.259468,3.08584E+06,2.83091,0.906345,61635.94,306.64646766169153,58020.051863400004,10290.0,100.0,800.0767302401359,0.25548200000000004,0.1,2.78324,141.952,58549.31,291.29009950248764,,,,,0.282713640321462,20826.492616281597,9243062,9243062,0.5547393120149429,
1050360116_1,0.107280,2.01057E+09,2.68607,7.57817E-02,48311.57,240.35606965174128,58020.1160069,10500.0,100.0,813.8317799381911,0.2,1636070.0,2.68623,147.974,49291.54,245.2315422885572,,,,,0.2969717555087339,12811.036826804717,9568128,9568128,0.9177871088580216,
1050360116_2,9.05269E-02,2.55940E+10,2.66066,1.26121E-02,44099.74,219.40169154228855,58020.1801273,10590.0,100.0,840.463000210002,0.2,2833730.0,2.65956,144.798,48060.46,239.1067661691542,,,,,0.3015784823563158,16866.838285736427,9962235,9962235,0.7027975697399139,
1050360116_3,0.207994,8.44408E+06,2.78687,0.906345,62751.89,312.19845771144276,58020.2447569,10300.0,100.0,814.886559672654,0.2,0.1,2.74913,155.56799999999998,59666.98,296.8506467661692,,,,,0.2837921269420453,22288.366449436377,9420043,9420043,0.5186769837041098,
1050360116_4,0.269843,2.62714E+06,2.85455,0.906345,60701.66,301.99830845771146,58020.308830999995,10330.0,100.0,726.885599819943,0.274852,0.1,2.81049,139.003,57756.77,287.3471144278607,,,,,0.2804495023151444,21453.207499956712,8431475,8431475,0.5407113704484577,
1050360116_6,0.166077,2.43440E+07,2.78333,0.906345,6044.81,30.073681592039804,58020.3178472,10190.0,100.0,69.19430002570151,0.27725500000000003,0.1,2.8136799999999997,136.577,5599.49,27.858159203980094,,,,,0.2791580214498015,18775.772486007518,792595,792595,0.6101074456410556,
1050360116_7,0.173172,2.05682E+07,2.79963,0.906345,77924.54,387.68427860696517,58020.373414400005,10290.0,100.0,826.7287598662081,0.298047,0.1,2.84888,134.183,70891.19,352.692487562189,,,,,0.2761938771235993,25527.22957793868,9548103,9548103,0.4524466515961309,
1050360116_8,0.286378,2.05116E+06,2.90718,0.906345,78410.25,390.10074626865674,58020.4377662,10250.0,100.0,827.7260403195401,0.31311,0.1,2.8793900000000003,131.388,74568.9,370.98955223880586,,,,,0.27328369448352496,19881.474472065747,9536551,9536551,0.5795327349521542,
1050360116_9,0.210860,8.42904E+06,2.85260,0.906345,93201.20,463.6875621890547,58020.5016551,10190.0,100.0,872.245079649612,0.33261399999999997,0.1,2.9254,127.837,82862.61,412.25179104477616,,,,,0.26913598400377803,22269.727572510503,9990155,9990155,0.5143257829842222,
