full_ids,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,fit_stat,reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1130360131_6,58137.8225926,1.200e+03,100.0,795.747041911818,0.822978,4579.32,3.64758,9.35658E-03,129177.5,690.7887700534759,,,,,0.11242679819577486,5663.358446319017,1089896,1089896,0.24188707764621759,
1130360131_7,58137.8873843,1.212e+03,100.0,758.022188113537,0.748275,7265.52,3.64758,1.18729E-05,78638.33,420.5258288770054,,,,,0.1122898439943075,4637.46890515663,1048106,1048106,0.2982194312324302,
1130360131_8,58137.9512963,1.209e+03,100.0,805.698492851574,0.469645,5.93568E+04,3.64758,7.76723,23318.33,123.37740740740742,,,,,0.11270011199284125,4099.600228032126,1112830,1112830,0.3369928712123314,
1130360132_0,58138.0156481,1.211e+03,100.0,805.703358888626,0.501893,2.28270E+04,3.64758,9.96343,57474.17,302.4956315789474,,,,,0.11334650109693356,5384.005026831915,1112750,1112750,0.25656513751108856,
1130360132_1,58138.08,1.208e+03,100.0,805.725255866535,0.770228,6290.19,3.64758,1.92082E-04,95263.94,512.1717204301075,,,,,0.11247327468631382,4666.268809679997,1110684,1110684,0.2954791670391134,
1130360132_2,58138.2757407,1.203e+03,99.7,376.585769971367,0.470328,5.93246E+04,3.64758,7.61591,11066.70,59.18021390374332,,,,,0.11109618538939936,541.7331710876575,518147,518147,2.5445211825790905,
1130360133_0,58139.5642361,1.199e+03,100.0,330.988014031202,0.460818,6.39859E+04,3.64758,8.24945,9348.53,52.22642458100559,,,,,0.11331796295202663,5756.092841278642,451832,451832,0.23719874367919905,
1130360134_0,58140.0171875,1.179e+03,99.9,87.4919760040939,0.952266,1638.85,3.64758,0.705964,26264.96,166.2339240506329,,,,,0.1106557955979796,3428.1722350992386,118008,118008,0.3935566852596528,
1130360135_1,58141.936956,1.185e+03,100.0,685.7644560677,0.498620,2.33713E+04,3.64758,9.73536,47110.06,250.5854255319149,,,,,0.11253271880796384,5732.216438582146,924520,924520,0.23523098622142805,
1130360137_0,58151.7828588,1.021e+03,100.0,440.207963975728,0.484866,5.05709E+04,3.64758,5.07423,11843.31,66.53544943820225,,,,,0.10532089872830562,4002.469637634453,509501,509501,0.2892461716793804,
1130360138_0,58175.7774421,5.400e+02,99.0,957.147858979879,0.424307,6.93569E+04,3.64758,3.04833,14231.43,70.80313432835821,,,,,0.0759596800251692,156.80716728871886,585415,585415,3.9255216968301085,
1130360138_1,58175.8518866,5.434e+02,99.9,95.9176703989506,0.423109,7.11774E+04,3.64758,3.07588,1587.39,11.023541666666667,,,,,0.07722249611270182,1410.931797768316,58300,58300,0.4310938500724681,
1130360139_0,58176.1633333,5.225e+02,94.5,503.496403179131,0.429232,6.41676E+04,3.64758,2.79697,7775.06,38.681890547263684,,,,,0.06570142145443517,26.85467431287369,311597,311597,23.93634434159455,
1130360140_0,58193.1971644,3.167e+02,97.3,316.545422007563,0.387771,8.24586E+04,3.64758,1.86541,2877.87,14.31776119402985,,,,,0.05767527433692093,47.3213450300041,112482,112482,7.671244612797567,
1130360142_0,58195.1947222,2.649e+02,66.9,355.339975988958,0.390224,7.78700E+04,3.64758,1.35255,3911.22,19.458805970149253,,,,,-0.020127411393145483,4.3768222312343585,148773,148773,123.9857728922373,
1130360143_0,58196.4206829,2.876e+02,95.4,175.738463995978,0.377030,8.93682E+04,3.64758,1.84545,1374.46,6.838109452736319,,,,,0.05717262440390881,26.22597997736542,57542,57542,12.979862138822693,
