observation_ID,A,B,C,D,E,F
92702-01-08-03,1007.0,0.649339,6.13643e-10,2.36407,13.3861,5.7364
92702-01-09-00,1044.0,0.641152,1.97589e-05,2.36434,13.5135,5.80465
92702-01-20-01,1971.0,0.644597,0.140125,2.36637,13.685,5.78172
92702-01-20-02,1921.0,0.644491,0.00016756,2.36619,13.6551,5.78585
92702-01-21-00,1332.0,0.642503,6.99804e-12,2.36649,13.7029,5.80723
92702-01-21-01,1351.0,0.631601,0.1201,2.3601,13.1787,5.88845
92702-01-21-02,1351.0,0.641067,2.56483e-06,2.3631,13.4605,5.79767
92702-01-22-00,2881.0,0.634104,1.45937e-09,2.36406,13.5405,5.88771
92702-01-22-01,2842.0,0.640351,0.000541206,2.36278,13.4249,5.81553
92702-01-28-00,2826.0,0.2,48259700.0,2.3124,10.4337,12.8503
92702-01-28-01,2843.0,0.635031,0.00212795,2.36495,13.6224,5.90001
92702-01-29-00,1573.0,0.633828,1.02984e-10,2.36552,13.7846,5.91231
92702-01-30-00,2088.0,0.638152,7.41294e-11,2.36658,13.8971,5.8757
92702-01-31-00,1972.0,0.609884,1.89777e-11,2.35495,12.9197,6.13153
92702-01-31-01,1937.0,0.640672,2.25447e-07,2.36665,13.8161,5.85785
92702-01-32-00,1834.0,0.2,48382400.0,2.31311,10.474,12.9135
92702-01-32-01,1800.0,0.642299,4.37196e-11,2.36738,13.792,5.85294
92702-01-32-02,1763.0,0.643845,4.72143e-11,2.3672,13.7757,5.83595
92702-01-33-00,1732.0,0.646936,0.110865,2.36778,13.7856,5.80933
94701-01-10-00,1594.0,0.617336,7.34662e-10,2.35611,12.8829,6.07113
94701-01-11-00,1197.0,0.641682,6.95529e-11,2.36653,13.7538,5.85444
94701-01-12-00,1049.0,0.643379,4.49055e-10,2.36454,13.7062,5.8113
94701-01-12-01,1042.0,0.645612,2.1057e-05,2.3603,13.4228,5.75148
94701-01-13-00,1491.0,0.647436,1.60379e-11,2.36305,13.7012,5.74704
94701-01-34-00,2029.0,0.647815,0.00142982,2.36384,13.7316,5.75073
94701-01-34-01,1976.0,0.651116,7.22355e-11,2.36509,13.7925,5.72535
94701-01-35-00,2311.0,0.64687,1.8824e-11,2.36474,13.712,5.77476
94701-01-46-00,2126.0,0.646846,2.84365e-10,2.36567,13.7534,5.78483
96701-01-52-00,1799.0,0.65133,3.3504e-05,2.36544,13.6587,5.7373
