observation_ID,simpl_FracScat,net_source_count_rate,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,hardness_ratio
1130360182_4,0.0521659,88.2,0.3279289999999999,94364.9,3.647580000000001,0.43128,0.034373274516498
1130360182_9,0.0234114,85.58,0.336782,81537.5,3.647580000000001,0.318325,0.0181765201391592
1130360183_0,0.0501669,90.16,0.324732,102967.0,3.647580000000001,0.455679,0.0348811914867092
1130360183_1,0.031607,90.06,1.55637,16.0558,3.647580000000001,7.87085e-09,0.0353166288660014
1130360183_2,0.0387524,91.25,0.326949,98164.9,3.647580000000001,0.470489,0.0359534800783379
1130360183_3,0.0400312,92.58,0.316582,114814.0,3.647580000000001,0.7148720000000001,0.0478128555067977
1130360183_4,0.0501669,90.16,0.319484,105492.0,3.647580000000001,0.60001,0.0490327249863396
1130360183_6,0.0466739,91.86,0.311203,128938.0,3.647580000000001,0.656795,0.0496041789493478
1130360183_7,0.0352637,90.85,0.3239,103131.0,3.647580000000001,0.49651,0.0404574990038252
1130360183_8,0.0417926,91.54,0.320409,106719.0,3.647580000000001,0.576753,0.0487400880541852
1130360184_0,0.0443624,75.45,0.297354,143957.0,3.647580000000001,0.620159,0.0544087712438319
1130360184_10,0.0698757,68.17,0.287957,143250.0,3.647580000000001,0.733771,0.0725499256746265
1130360184_11,0.0546184,75.98,0.294837,140918.0,3.647580000000001,0.7337020000000001,0.0643995967289733
1130360184_12,0.0512067,72.95,0.294943,138902.0,3.647580000000001,0.673564,0.0616649858838082
1130360184_13,0.0579599,74.48,0.286196,165030.0,3.647580000000001,0.799773,0.0682845543178942
1130360184_14,0.0601439,73.93,0.293337,138649.0,3.647580000000001,0.777768,0.069309721544373
1130360184_15,0.0607425,75.3,0.2888969999999999,154877.0,3.647580000000001,0.822642,0.0745442834374841
1130360184_16,0.0690822,73.9,0.2782159999999999,183895.0,3.647580000000001,0.958444,0.0825600305602034
1130360184_17,0.0580889,71.13,0.2846849999999999,163199.0,3.647580000000001,0.773507,0.0705846889147717
1130360184_3,0.0463439,74.53,0.30059,129942.0,3.647580000000001,0.6132029999999999,0.0552927962621274
1130360184_4,0.04915,74.98,0.294471,143518.0,3.647580000000001,0.758948,0.0610467326222493
1130360184_7,0.0477298,75.41,0.296991,140118.0,3.647580000000001,0.6634369999999999,0.0581856976294377
1130360184_9,0.054233,74.74,0.294239,144452.0,3.647580000000001,0.734483,0.0615506672426674
1130360185_0,0.060205,70.62,0.280548,171428.0,3.647580000000001,0.883856,0.0766476865945602
1130360185_1,0.0802419,72.4,0.252108,304405.0,3.647580000000001,1.2314,0.1045212320121256
1130360185_2,0.0780523,70.08,0.2505219999999999,300343.0,3.4020900000000003,1.01304,0.1304510715140764
1130360186_0,0.0239718,32.08,0.2,574220.0,2.45575,0.257092,0.2931929277629387
1130360186_1,0.0229501,34.3,0.2,618150.0,2.41834,0.262293,0.2936300905522714
1130360187_0,0.0224027,32.85,0.2,596322.0,2.41344,0.248981,0.293821506120013
1130360188_0,0.0208327,15.47,0.2,176117.0,1.9624,0.0778703999999999,0.4205264167218268
1130360199_1,0.232279,9.549,0.252003,9362.12,1.68074,0.0358535,0.5103568402200234
1130360199_2,0.0402714,15.57,0.2,112655.0,1.92351,0.0831431,0.447242280817616
1130360201_0,0.0288868,29.08,0.2,275715.0,2.05081,0.169577,0.4036053467699404
1130360202_0,0.0266611,33.09,0.2,374365.0,2.12127,0.203314,0.3833227034494273
1130360203_0,0.0244639,48.06,0.2,662653.0,2.23005,0.321211,0.3427618227358009
1130360203_1,0.0255003,49.25,0.2,694970.0,2.25255,0.339576,0.3351477150482396
1130360203_2,0.0269947,49.6,0.200007,689287.0,2.27052,0.348066,0.3383505172214534
1130360204_0,0.0785024,84.94,0.27398,184359.0,3.19491,0.949955,0.1402772338483468
1130360205_0,0.0816626,70.76,0.2600679999999999,232358.0,3.64713,1.15933,0.1091449559782422
1130360205_1,0.0883241,70.65,0.248544,306092.0,3.647580000000001,1.2827,0.1093505566148565
1130360205_2,0.0822417,70.49,0.260019,238926.0,3.647580000000001,1.13351,0.1064924319251014
1130360206_0,0.0446636,60.37,0.26563,191802.0,2.86488,0.4910819999999999,0.1551905196725038
1130360206_1,0.0599725,59.2,0.233679,417835.0,3.11437,0.757999,0.1657595412665974
1130360207_0,0.023395,32.04,0.2,557028.0,2.40496,0.2477079999999999,0.3117174689608814
1130360207_1,0.0231583,32.21,0.2,553873.0,2.36845,0.240919,0.3089813313930317
1130360208_0,0.0219332,23.93,0.2,336034.0,2.17277,0.148646,0.3608078212840117
1130360209_0,0.0232873,17.76,0.2,208176.0,2.04914,0.100739,0.396190434761126
1130360226_3,0.0899061,10.1,0.2767199999999999,5174.09,1.63274,0.0346017,0.5208294977422108
1130360226_4,0.0326628,10.23,0.200552,53149.2,1.67091,0.0393971,0.5276032820476563
1130360226_5,0.0642919,9.849,0.2,63598.8,1.90529,0.0545943999999999,0.469389935318049
1130360226_6,0.0402347,10.79,0.2,55449.2,1.7879900000000002,0.0487077,0.4835105096144956
1130360227_0,0.0778426,12.77,0.201031,59201.6,1.7769700000000002,0.0568621999999999,0.4885906698272189
1130360227_1,0.033825,16.52,0.200003,109408.0,1.87186,0.0831737,0.4589976270552181
1130360228_1,0.0289622,28.88,0.2,324163.0,2.171,0.189805,0.3690798755653681
1130360228_4,0.0290201,33.81,0.2,429467.0,2.31146,0.253933,0.3315427505012853
