ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number,class
40124-01-07-00,XTE J1859+226,C,intermediate,3.6630000000000003,14.3,24.3,28.2,"(0.013, 0.013)","(1.0, 1.0)","(0.9, 0.9)",132,22
40124-01-08-00,XTE J1859+226,C,intermediate,4.364,13.4,20.5,24.4,"(0.007, 0.007)","(0.8, 0.9)","(0.7, 0.8)",133,22
40124-01-09-00,XTE J1859+226,C,intermediate,4.949,13.5,18.3,22.7,"(0.007, 0.007)","(0.8, 0.8)","(0.6, 0.6)",134,22
40124-01-10-00,XTE J1859+226,C,intermediate,5.772,11.7,11.8,19.2,"(0.017, 0.017)","(0.7, 0.8)","(0.6, 0.6)",135,22
40124-01-11-00,XTE J1859+226,C,intermediate,5.92,14.2,11.8,19.7,"(0.014, 0.014)","(0.6, 0.7)","(0.8, 0.7)",136,22
40124-01-14-00,XTE J1859+226,C,intermediate,8.561,3.4,10.2,12.4,"(0.06, 0.06)","(0.3, 0.2)","(0.4, 0.4)",137,22
40124-01-15-00,XTE J1859+226,C,intermediate,6.16,8.2,18.7,20.4,"(0.021, 0.021)","(0.3, 0.3)","(0.3, 0.3)",138,22
40124-01-16-00,XTE J1859+226,C,intermediate,7.731,4.8,9.5,10.6,"(0.056, 0.055)","(0.5, 0.6)","(0.5, 0.5)",139,22
40124-01-17-00,XTE J1859+226,C,intermediate,7.5,6.7,11.7,15.0,"(0.031, 0.031)","(0.3, 0.3)","(0.3, 0.3)",140,22
40124-01-18-00,XTE J1859+226,C,intermediate,5.888999999999999,9.0,17.5,19.7,"(0.011, 0.011)","(0.8, 0.9)","(0.7, 0.8)",141,22
40124-01-19-00,XTE J1859+226,C,intermediate,5.178999999999999,12.9,18.3,22.4,"(0.008, 0.008)","(0.8, 0.9)","(0.6, 0.7)",142,22
40124-01-20-00,XTE J1859+226,C,intermediate,6.433,10.7,13.0,18.3,"(0.019, 0.019)","(0.4, 0.4)","(0.4, 0.4)",143,22
40124-01-21-00,XTE J1859+226,C,intermediate,6.313,9.5,14.8,19.1,"(0.013, 0.013)","(1.0, 0.6)","(0.8, 0.5)",144,22
40124-01-23-00,XTE J1859+226,C,intermediate,6.906000000000001,7.9,12.2,15.2,"(0.026, 0.026)","(0.8, 1.0)","(0.7, 0.8)",145,22
40124-01-23-01,XTE J1859+226,C,intermediate,7.684,6.1,10.2,14.2,"(0.05, 0.049)","(0.3, 0.3)","(0.5, 0.5)",146,22
40124-01-25-00,XTE J1859+226,C,intermediate,6.199,8.2,17.5,20.1,"(0.019, 0.019)","(0.3, 0.3)","(0.3, 0.4)",147,22
40124-01-26-00,XTE J1859+226,C,intermediate,7.526,7.2,9.0,14.6,"(0.046, 0.046)","(0.1, 0.1)","(0.2, 0.2)",148,22
40124-01-28-00,XTE J1859+226,C,intermediate,7.695,3.1,11.5,12.7,"(0.092, 0.092)","(0.3, 0.4)","(0.4, 0.4)",149,22
40124-01-28-01,XTE J1859+226,C,intermediate,7.505,5.6,11.7,13.0,"(0.043, 0.044)","(0.6, 0.7)","(0.6, 0.6)",150,22
40124-01-29-00,XTE J1859+226,C,intermediate,7.684,4.4,10.5,13.2,"(0.056, 0.056)","(0.5, 0.5)","(0.6, 0.6)",151,22
40124-01-31-00,XTE J1859+226,C,intermediate,7.257000000000001,6.0,12.5,14.2,"(0.034, 0.034)","(1.3, 1.1)","(1.2, 1.0)",152,22
96371-02-01-00,MAXI1543-564,C,intermediate,1.056,17.6,16.1,23.9,"(0.014, 0.014)","(3.4, 3.4)","(2.6, 2.5)",153,11
